,Ransomware_Group,Company_Name,Company_Description,Date_of_leak,Number_of_Views,Company_URL,Industry_Type,Company_Address,Company_Country,Personal Identifiable Information (PII),Financial Data,Healthcare Information,Employee and HR Data,Intellectual Property and Trade Secrets,Customer and Client Data ,Legal Documents,Government and Defense Information,Educational Data,Credentials and Access Information,Databases,Website Data,Backup Data,Video and Surveillance Footage,Social Media Data,Utility and Infrastructure Data,Sensitive Communication
17,Medusa,LEN Italia,"LEN Italia– Learning Education Network is a cooperative company that engages in professional training by planning and providing training and consulting activities. Founded in 2005, LEN has a team of more than 70 professionals available to educational institutions, companies, public administrations, non-profit organizations and individuals for any type of training and consultation.",2023-08-25,6673,https://www.gruppolen.it/,Professional Training and Coaching,Via Golfo dei Poeti 1/A - 43126 Parma,Italy,1,1,0,0,0,1,1,0,0,0,0,,,,,,
18,Medusa,Sartrouville France,"Sartrouville is a commune in the Yvelines department, Île-de-France, north central France. it is located in the north-western suburbs of Paris, 17.1 km from the center of Paris. It employs 501-1,000 people and has $100M-$250M of revenue. Is headquartered in Sartrouville, Ile-de-France, 78500, France.",2023-08-19,7826,http://www.sartrouville.fr,Government Administration,Sartrouville,France,1,1,0,1,0,1,1,0,0,0,1,,,,,,
19,Medusa,The International Civil Defense Organization,"The International Civil Defense Organization (ICDO) is an intergovernmental organization whose goal is to promote the development by States of structures that protect and assist the population, as well as the protection of property and the environment from natural disasters or man-made disasters. It was founded in 1931.It consists of 60 Member States, 16 observer States and 23 associate members.",2023-08-19,6609,http://www.icdo.org,Government Relations Services,Geneva,Schweiz/Suisse/Svizzera/Svizra,1,1,0,1,0,0,1,0,1,0,1,,,,,,1
20,Medusa,Novi Pazar put ad,"Novi Pazar put ad is a company that operates in the Civil Engineering industry. It employs 251-500 people and has $10M-$25M of revenue. The company is headquartered in Novi Pazar, 36300, Serbia",2023-08-19,6395,https://www.np-put.rs/,Civil Engineering,"36300 Novi Pazar, Serbia",Serbia,0,1,0,0,1,0,1,0,1,0,1,,,,,,
21,Medusa,Postel SpA,"Postel SpA offers computer software for sale. The Company provides software products and management services including document management, direct marketing, and e-procurement software and related services. Postel operates throughout Italy, the company's head office is located at Viale Europa 175, 00144 - Roma, Italia",2023-08-15,9209,http://www.postel.it,IT Services and IT Consulting,Roma,Italia,1,1,0,0,0,1,0,0,0,0,1,,,,,,1
22,Medusa,Borets (Levare.com),"Borets (Levare.com) is Headquartered in Houston, Texas, with an international headquarters in Dubai, Borets is a global provider specializing in the engineering, manufacture, sales and service of Electric Submersible Pump systems. Uploaded Data Size: 1TB",2023-08-14,7002,https://levare.com/,Oil and Gas,"Level 8, Burj Daman Dubai International Financial Centre",United Arab Emirates,1,1,0,1,1,1,1,0,0,0,0,,,,,,1
23,Medusa,CB Energy Australlia,"CB Group Australia provide a broad range of services across the construction industry in project management, civil, electrical and maintenance disciplines. The company was founded in 1946. The company's central office is located at 15 Production Ave, Molendinar, Queensland, 4214, Australia",2023-08-14,6159,http://www.cb.com.au,"Electric Power Transmission, Control, and Distribution","Beenleigh, Queensland",Australia,1,1,0,1,0,0,1,0,1,0,0,,,,,,
24,Medusa,Emerson School District,"The Emerson School District is a comprehensive community public school district that serves students in pre-kindergarten through twelfth grade from Emerson, in Bergen County, New Jersey, United States. There are currently about 1,200 students enrolled in the school district.",2023-08-08,7375,http://www.emerson-school.org,Primary and Secondary Education,"Emerson, Bergen County, New Jersey, 07630",United States,1,1,0,1,0,1,1,1,1,0,0,1,,,,,1
25,Medusa,St Landry Parish School Board,"St Landry Parish School Board is a school district based in Opelusas, Louisiana. The area includes primary, secondary and secondary schools. At the moment, more than 14,000 students are studying in them.",2023-07-31,8715,http://www.slp.k12.la.us/,Education Administration Programs,"Opelusas, Louisiana",United States,1,1,0,1,0,1,0,0,1,1,1,1,,,,,1
26,Medusa,Ace Micromatic Group,"Ace Micromatic Group is India's largest machine tool conglomerate with a market presence in several countries across Asia, Australia, Middle East, North & South America and Europe.",2023-07-31,8256,https://www.acemicromatic.net,Machinery Manufacturing,"Bangalore, Karnataka",India,0,1,0,0,1,1,0,0,0,0,1,,,,,1,1
27,Medusa,The Sinbad Club,"The Sinbad Club company, founded in 1992, offers a wide range of services for recreation on the Red Sea coast in Egypt. The main office of the company is located at 10 Elmenya Street, Cairo, Cairo, HELIOPOLIS, Egypt.",2023-07-25,9631,http://www.sindbad-club.com,Hospitality,"10 Elmenya Street, Cairo, Cairo, HELIOPOLIS",Egypt,1,1,0,1,0,1,0,0,0,0,1,,,,,,1
28,Medusa,Cafe Britt,"Cafe Britt is a company engaged in processing beans and making coffee in Costa Rica with subsequent export to global markets. The company's product line also includes other products, such as coffee, chocolate and cookies, etc. The head office is located at 2960 NW 72nd Ave, Miami, Florida, 33122, United States",2023-07-23,8947,https://corp.cafebritt.com/cafebritt,Manufacturing,"2960 NW 72nd Ave, Miami, Florida, 33122",United States,1,1,0,1,0,1,1,0,0,0,1,,,,,1,1
29,Medusa,Sun Pain Management,"Sun Pain Management and Spine Specialists treats clinic, whose head office is located at 5501 N 19th Ave Ste 103, Phoenix, Arizona, 85015, United States offers a wide range of procedures for patients suffering from chronic pain. In total, there are five centers of this clinic in the United States.",2023-07-23,8706,https://sunpainmanagement.com/,Medical Practices,"Phoenix, Arizona",United States,1,0,1,1,0,1,1,0,0,0,0,,,,,,
30,Medusa,DTD Express,"DTD Express provides international parcel delivery services. The company specializes in meeting the import and export needs of Asia (India, Pakistan), the Far East (China, Hong Kong), the USA and Europe. The company's head office is located at 30b Melton Rd, Leicester, Leicester, L4 5 EA, United Kingdom",2023-07-18,9777,http://www.dtdexpress.co.uk,Consumer Services,"Leicesteer, Leicestershire",United Kingdom,1,1,0,0,0,1,1,0,0,0,1,,,1,,,1
31,Medusa,Nini Collection Ltd (Nini's Jewels),"Nini Collection Ltd is a company that operates in the Luxury Goods & Jewelry industry. It employs 6-10 people and has $1M-$5M of revenue. The company is headquartered in Westheimer Rd Ste 330, Houston, Texas, 77056, United States",2023-07-18,8990,http://ninicollection.com,Retail Luxury Goods and Jewelry,"Westheimer Rd Ste 330, Houston, Texas, 77056",United States,1,1,0,1,0,1,1,0,0,0,1,,,1,,,
32,Medusa,Tracker de Colombia SAS,"The organization, which was founded in 1994 and working in 9 countries of Latin America, which develops, designs, develops, produces and sells products, specialized software, services and comprehensive solutions in the field of security, monitoring, determination of location, identification, remote management and relational marketing.",2023-07-07,10635,https://www.detektor.com.co,Information Technology & Services,CARRERA 7 156 78 TORRE 2 OFICINAS 1202 Y 1203 BOGOTA,Colombia,1,1,0,0,0,1,1,0,0,0,1,,,,,,
33,Medusa,Yunus Emre Institute Turkey,The Yunus Emre Institute (Yunus Emre Enstitüsü) is a worldwide non-profit organization established by the Turkish government in 2007. It is aimed at popularizing the Turkish language and culture around the world. It has 62 centers in 52 countries of the world.,2023-07-04,10665,http://yee.org.tr,Non-profit Organizations,Ankara,Turkey,1,1,0,1,0,1,1,0,1,0,0,,,,,,
34,Medusa,Luna Hotels & Resorts,"Luna Hotels & Resorts is one of Portugal's most famous hotel brands. The company invests, creates, controls and offers a number of services for the whole family, sports sector and corporate segment. The main office is located at Lote H1 Avenida Da Marina, Vilamoura, Faro, 8125-401, Portugal",2023-07-03,9772,http://www.lunahoteis.com,Hospitality,"Lote H1 Avenida Da Marina, Vilamoura, Faro, 8125-401",Portugal,1,1,0,1,0,1,0,0,0,0,1,,,,,,1
35,Medusa,Mutuelle LMP,"Mutuelle LMP is a French company operating in the field of insurance. The company employs 51-100 people, and the revenue is from 10 to 25 million dollars. The company was founded more than 167 years ago, and provides insurance protection of more than 45,000 people.",2023-07-03,9556,https://www.mutuellelmp.fr,Insurance,"Versailles, Île-de-France",France,1,1,1,1,0,1,1,0,0,0,1,,,,,1,1
36,Medusa,Universitas Matthiae Belii association,"Matej Bel University (commonly referred as Matej Bel or UMB), (Slovak: Univerzita Mateja Bela) is a public research university in the central Slovak town of Banská Bystrica. The university was established in 1992. At the moment, more than 6,000 students are studying at the university.",2023-06-25,10935,www.umb.sk,Higher Education,"12 Narodn�, Majer, Banskobystricky, 974 01",Slovakia,1,1,0,1,0,0,1,0,0,0,1,,,1,,,1
37,Medusa,Real Estate Systems Integrator,"RESI was established in 1994 with the purpose of providing REALTORS® with the technology necessary to enhance productivity and broaden their reach. The main office of the company is located at: 560 Lincoln Rd Ste 203, Miami Beach, Florida, 33139, United States",2023-06-25,9888,http://www.resionline.com,"Technology, Information and Internet","560 Lincoln Rd Ste 203, Miami Beach, Florida, 33139",United States,1,0,0,0,0,0,0,0,0,0,1,,,,1,,
38,Medusa,Kramer Enterprises,"Kramer Enterprises was founded in 1999, provides services in Southern Wisconsin for the construction of flat surfaces and specializes in stamped and colored decorative concrete. The company's clients include Fort Atkinson, Jefferson, Whitewater, Watertown, Janesville, Cambridge and surrounding areas.",2023-06-23,11738,https://www.kramerenterprises.com/,Building Construction,"Fort Atkinson, WI 53190",United States,1,1,0,1,0,1,0,0,0,0,1,,,1,,,1
39,Medusa,Comision Nacional de Valores,"Regulatory agency in charge of authorizing IPOs and securing compliance by market participants with federal securities laws in the Argentine Republic. It supervises brokerage firms, issuers, stock exchanges, mutual funds and credit rating agencies. It is a member of IOSCO. More than 1.5TB of documents & database dumps has been uploaded.",2023-06-11,13821,http://www.cnv.gov.ar,Capital Markets,25 de Mayo 175 - CABA,Argentina,1,1,0,1,0,1,1,0,0,0,1,,,1,,,1
40,Medusa,GAE Construction,"Website: https://gae-construction.co.uk/ GAE Construction, offers construction services at all levels to both large and small clients in London and the North-East of England.",2023-06-11,11902,https://gae-construction.co.uk/,Building Construction,JUBILEE INDUSTRIAL ESTATE ASHINGTON NE63 8UB,United Kingdom,1,1,0,1,1,1,1,0,0,0,1,,,1,,,1
41,Medusa,Tour Partner Group,"Tour Partner Group is a holding company dealing with hotels and many others, Irish welcome tours and authentic holidays. The company was founded in 1992, the central office is located at 66-68 College Rd Fl 5, London, Essex, CO1 1BE, United Kingdom",2023-06-07,11831,http://www.tourpartnergroup.com,Travel Arrangements,"66-68 College Rd Fl 5, London, Essex, CO1 1BE",United Kingdom,1,1,0,1,0,1,1,0,0,0,1,,,,,,1
42,Medusa,Concremat constructions,"Founded in 1972 and headquartered in Rio de Janeiro, Concremat Companies provides construction and engineering services. The company offers services such as urban and regional development studies, environmental management systems, and a sustainable development plan for territories",2023-06-05,11762,http://www.concremat.com.br/,Civil Engineering,"Rio de Janeiro, RJ",Brazil,1,1,0,1,0,1,1,0,0,0,1,,,1,,,1
43,Medusa,Farmacias Los Hidalgos,"Farmacias Los Hidalgos is a health, wellness and fitness company founded in 1975, based in the Dominican Republic at Avenue 27 de Febrero No. 241 in Ensanche Popcorn.",2023-06-05,11308,http://farmaciasloshidalgos.com.do,Wellness and Fitness Services,Avenue 27 de Febrero No. 241,Dominican Republic,1,1,0,1,0,1,0,0,0,0,1,,,1,,,
44,Medusa,BilgeAdam Software,"BilgeAdam operates as one of the subsidiaries of BilgeAdam IT Group, founded in 1997. The headquarters of the company, which includes the sts Research Center, subordinate to the Ministry of Industry and Technology, is located at 4 b3 Sarıyer, Istanbul, 34396, Turkey. The main areas of activity are IOT management, automation, communications, network and security. Leak includes their internal source codes and recent live screenshots of their works.",2023-05-29,13198,https://bilgeadamtechnologies.com/,IT Services and IT Consulting,"Level 39, One Canada Square, Canary Wharf, London, E14 5AB",United Kingdom,1,1,0,1,0,1,0,0,0,0,1,1,,1,,,1
45,Medusa,Fiduagraria,"Fiduagraria is a joint-stock company of a mixed economy, subject to the State regime of an industrial and commercial enterprise, in accordance with the national order, associated with the Ministry of Agriculture and Rural Development, under the control and supervision of the Financial Administration of Colombia and legally registered on the basis of Public Act No. 1199 of February 18, 1992 with the main address in the city of Bogota.",2023-05-27,12851,http://www.fiduagraria.gov.co,Financial Services,Bogota,Colombia,1,1,0,1,1,1,0,0,0,0,1,,,,,,1
46,Medusa,Trabzonspor Football Club,"Trabzonspor Kulübü ( German Sportklub Trabzon ) is a sports club from the Turkish port city of Trabzon. The club, founded on August 2, 1967, is best known for its football department, which was Turkish champion six times between 1976 and 1984. Trabzonspor is one of Turkey's big four and is regularly ranked as a championship contender.",2023-05-24,12890,https://www.trabzonspor.org.tr/en,Sports Teams and Clubs,Trabzon,Turkey,1,1,0,1,0,1,1,0,0,0,1,,,,,,1
47,Medusa,Leland Campbell LLP law firm,"Leland Campbell LLP is the largest law firm in Yorkton and the district, employing 8 lawyers and staff. The firm's services include real estate, wills and estate, criminal law, family law, civil litigation and commercial/commercial law, to name just a few.",2023-05-23,12601,https://www.kpllp.ca,Legal Services,"Yorkton, Saskatchewan",Canada,1,1,0,1,0,1,1,0,0,1,0,,,,,,1
48,Medusa,Amaszonas S.A.,"Lnea Aérea Amaszonas S.A. (""Amaszonas"") is a Bolivian regional airline based at the Viru Viru International Airport in Santa Cruz. The operator was founded in 1999 and provides scheduled regional services. Amaszonas is owned by the group of Latin American airlines",2023-05-23,12182,http://www.amaszonas.com,Airlines and Aviation,"La Paz, NA",United States,1,1,0,1,0,1,0,0,1,0,1,,,,,,1
49,Medusa,SIGMA,"SIGMA is a company located at 4915 Ambroise Lafortune Ste 100, Boisbriand, Quebec, J7H 0A4, Canada, providing IT services specializing in the development and implementation of an integrated management system (IMS) for manufacturing (MRP/ERP) and distribution companies.",2023-05-22,11767,http://www.sigma-corp.net,Pharmaceutical Manufacturing,"Quebec, Canada",Canada,0,1,0,0,0,1,1,0,1,0,1,,,,,,
50,Medusa,Al Tamimi Law Firm,"Founded by Essam Al Tamimi in 1989, Al Tamimi & Company has become the largest law firm in the Middle East with offices in Bahrain, Egypt, Iraq, Jordan, Kuwait, Oman, Qatar, Saudi Arabia and the United Arab Emirates. The firm employs more than 360 lawyers and has over 720 staff in total.",2023-05-19,13139,https://www.tamimi.com/,Law Practice,Dubai,United Arab Emirates,1,1,1,1,0,1,1,0,0,0,1,,,,,,1
51,Medusa,Wallick Communities,"Wallick Communities provides property management, development, construction, and asset management for affordable housing and senior living communities. The company was founded in 1966 and is headquartered in New Albany, Ohio",2023-05-19,13742,http://www.wallick.com,Real Estate,"New Albany , OH",United States,1,1,0,1,1,0,1,0,0,0,1,,,,,,1
52,Medusa,BAMSI,"BAMSI is a private, non-profit social services organization that provides behavioral health and public health services to adults and children with developmental disabilities and mental illnesses. BAMSI was founded in 1975 and is headquartered in Brockton, Massachusetts, with 50,000 patients served annually.",2023-05-19,12616,https://ww.bamsi.org,Individual and Family Services,"Brockton, Ma",United States,1,1,1,1,1,0,1,0,1,0,1,,,,,1,
53,Medusa,HostAfrica,"HostAfrica was founded in 2015 in Cape Town with the mission to provide high-performance servers and hosting services in South Africa at a reasonable price. HostAfrica is based in Cape Town, South Africa.",2023-05-13,12706,https://www.hostafrica.com,IT Services and IT Consulting,"Somerset West, Cape Town",South Africa,0,1,0,0,1,1,0,0,0,0,1,,,,,1,
54,Medusa,Cooperativa de Ahorro y Crédito Ahorrocoop Ltda,"Cooperativa de Ahorro y Crédito Ahorrocoop Ltda is a financial services company. The company employs 51-100 people, and revenue ranges from $ 10 to $25 million. The company's headquarters are located at 1421 5 Oriente, Talca, Maule, Chile",2023-05-10,13198,http://www.ahorrocoop.cl,Financial Services,"Talca, Talca",Chile,1,0,0,1,0,1,1,0,0,0,1,,,,,1,
55,Medusa,Sonda (Duplicate with update),"Sonda, This is a Chilean multinational IT company headquartered in Santiago we hacked last month. But it's network is still vulnerable and we hacked into company again in 2023-05-04. There is proof image below. More than 4TB of data is published on telegram channel today. Everyone can access & download it's data. We recommend companies not to use Sonda IT support.",2023-05-05,13801,https://www.sonda.com/,IT Services and IT Consulting,"Santiago,Chile",Chile,1,0,0,1,1,1,1,0,0,0,1,,,,1,1,
56,Medusa,The Crown Princess Mary Cancer Centre,"Westmead's service has been operating since 1994 at 75 Railway St, Mount Druitt, New South Wales, 2770, Australia and sees more than 500 families a year. The service is part of the Sydney West Cancer Network and has outreach services to Nepean Blue Mountains and Wagga/Bathurst/Orange (by Telehealth).",2023-05-04,16133,http://sydneywestcancer.org,Hospitals and Health Care,Westmead,Australia,0,1,0,1,0,1,1,0,0,0,1,,,,,,1
57,Medusa,Polat Yol Yap,"Polat Yol Yap is a company that operates in the construction industry, founded in 1975. The company employs from 2,001 to 5,000 people, and revenue ranges from $ 500 million to $1 billion. The company's headquarters is located in Cafe, Istanbul, Turkey.",2023-05-02,13747,http://www.polatyol.com/,Construction,"İstanbul, Kadıköy",Turkey,1,0,0,1,0,1,1,0,0,0,1,,,,,,1
58,Medusa,Alto Calore Servizi S.p.A.,"Alto Calore Servizi S.p.A., abbreviated ACS, was established on March 13, 2003. Alto Valore Servizi is a joint stock company consisting of 126 shareholders: 125 municipalities in the province of Avellino and Benevento and the administration of the province of Avellino. Alto Calore Servizi works in the field of collection and distribution of drinking water, sewerage and wastewater treatment.",2023-05-02,13423,https://www.altocalore.it/,Consumer Services,"AVELLINO, Avellino",Italia,0,0,0,0,1,1,1,0,0,0,1,,,1,,1,
59,Medusa,Bevan Group,"Founded in 1976, the Bevan Group company is a leading British supplier of commercial vehicle bodies, producing more than 60 commercial vehicle bodies every week. Bevan Group consists of five main companies: Busan Car Bodies, A&R Vehicle Services, After care Response, Graphics Depot and Supertruses.",2023-04-26,14471,http://bevangroup.com/,Truck Transportation,"Wednesbury, West Midlands",United Kingdom,0,1,0,1,1,1,0,0,0,0,1,,,,,,
60,Medusa,Magnolia Care Center,"Magnolia Care Center ~ A Veteran's Home~ is a Residential Veterans Personal Care Facility and Adult Day Care Center. Located at 16950 Florida Blvd, Baton Rouge, Louisiana, 70819, United States",2023-04-25,14312,http://magnolia-care.com/,Hospitals and Health Care,"San Jose, California",United States,1,1,0,1,0,1,1,0,0,0,1,,,,,,1
61,Medusa,Bentham & Holroyd Ltd,"Bentham & Holroyd Ltd is an engineering firm founded in 1830, subcontracted, based in Bradford, West Yorkshire, specializing in the production of precision components for the oil and gas industry, as well as offering a variety of services in CNC turning and manual turning, CNC milling, waterjet cutting and welding.",2023-04-24,14156,http://www.benthams.com,Industrial Machinery Manufacturing,"Bradford, West Workshire",United Kingdom,0,1,0,1,1,1,1,0,1,0,0,,,,,1,
62,Medusa,WestcoastSmile Dental Studio,"WestcoastSmile Kitsilano Dental Studio was established more than 20 years ago at 1-1874 W 1st Ave, Vancouver, British Columbia, V6J 1G5, Canada. The head is Dr. Jeffrey Jordan, who has been specializing in the dental field of medical activity for more than 30 years",2023-04-23,13843,https://www.westcoastsmile.com/,Hospitals and Health Care,"Vancouver, Canada",Canada,0,0,0,1,1,1,1,0,0,0,0,,,,,1,
63,Medusa,Uniondale School District,"Uniondale School District is a district located in Uniondale, NY. They are comprised of 9 different schools around the area: California Avenue School, Grand Avenue School, Northern Parkway School, Smith Street School, Walnut Street School, Lawrence Road Middle School, Turtle Hook Middle School, Uniondale High School and Cornelius Court School. As of the 2023 school year , 6523 students are enrolled in Uniondale School District.",2023-04-17,15004,http://www.uniondaleschools.org,Education Administration Programs,"Uniondale, New York",United States,1,0,0,1,0,1,0,0,1,0,0,,,,,,
64,Medusa,Arandell Corp,"Founded in 1922, Arandell provides premedia, catalog printing, mailing, distribution, list management, database marketing, mobile solutions, logistics and consulting services to its partners in the retail and direct mail catalog markets.",2023-04-15,14669,https://www.arandell.com/,Printing Services,"Menomonee Falls, WI",United States,0,1,0,1,0,1,0,0,0,0,1,,,,,1,
65,Medusa,"Allimand, France","Founded in 1850 in France, Allimand is a world leader in the development and production of machines for the production of paper, cardboard and fiber mats with high added value.On average, 85% of sales are exported, employees and representatives of Allimand accompany their customers in 40 countries around the world.",2023-04-15,14130,http://www.allimand.com,Machinery Manufacturing,"Rives, Auvergne-Rhône-Alpes",France,0,1,0,0,1,0,1,0,0,0,1,,,,,1,1
66,Medusa,"Scantibodies Laboratory, Inc.","Scantibodies Laboratory, Inc. (SLI) founded in 1976 and headquartered in Santee, California, develops and manufactures medical diagnostic products. The company offers products such as antigens, antibodies, blockers, calibrators, plasma and diagnostic kits. SLI sells its products worldwide.",2023-04-10,14832,http://www.scantibodies.com,Biotechnology,"Santee, California",United States,0,1,0,1,1,1,1,0,0,0,1,,,,,1,
67,Medusa,Atlantic International University,"Atlantic International University, V. (""AIA"") is a private commercial distance learning university based in Honolulu, Hawaii, was founded in December 1998 as Atlantic University. Despite the fact that the AIA is located in Hawaii, it is not accredited by a recognized accreditation agency of the United States, and therefore was prosecuted for providing false information to its clients about the accreditation of an educational institution.",2023-04-07,14992,https://www.aiu.edu,Higher Education,"Honolulu, Hawaii",United States,1,1,0,1,1,1,1,0,1,0,1,,,,,,1
