,Company,Company Description,Date Victimised,Number of Clicks,Status
10,bm.co.th,Bangsaen Mahanakorn Company Limited and affiliated companies of Bangsaen Mahanakorn,2023-10-14 10:29:00,6212,Published
11,eemotors.com,"Economic Electric Motors positions itself as one of the leading providers of electrical and HVAC products to customers such as Department of Defense, Department of Interior, Department of Justice, Number of Branches of State Governments, Universities...",2023-10-14 10:25:00,5553,Published
12,kendrion.com,KENDRION - innovative solutions for automotive and industry Products Markets Career We focus on intelligent actuator technology to help drive the global transition towards electrification and other forms of clean energy.,2023-10-14 10:27:00,17078,Published
13,ckgroup.com.tw,Chien Kuo Construction,2023-10-14 10:20:00,6584,Published
14,fdf.org.uk,"The Food and Drink Federation (FDF) is a membership organisation that represents and advises UK food and drink manufacturers. Passports, banks, accounting, juridic, customers and etc private data was downloaded",2023-10-14 10:25:00,8298,Published
15,fdf.org.uk,"The Food and Drink Federation (FDF) is a membership organisation that represents and advises UK food and drink manufacturers. Passports, accounting, finance, bank, insurances and a lot of another private data",2023-10-14 10:19:00,7942,Published
16,rexgroup.co.uk,"Rex Group Services Ltd is a company that operates in the Construction industry. It employs 11-20 people and has $5M-$10M of revenue. The company is headquartered in Chapletown, South Yorkshire, United Kingdom",2023-10-14 10:19:00,7639,Published
17,ezpaybuildings.net,"EZ Pay Buildings provides programs enabling consumers the ability to acquire ownership of Storage Barns, Steel Buildings, Gazebos, and more. Our dedicated sales team work towards growing the business of our partners. Our customer service representati...",2023-10-14 10:27:00,7114,Published
18,palaciodosleiloes.com.br,"Considerada uma das maiores empresas de leiles do país, o Palcio dos Leiles norteou o seu sucesso baseado em competência, ética e profissionalismo.",2023-10-14 10:26:00,6685,Published
19,scmh.org.tw,"Show Chwan Memorial Hospital is a medical center that provides orthopedics, neurology, obstetrics, and gynecology treatments TAINAN MUNICIPAL HOSPITAL",2023-10-14 10:20:00,26847,Published
20,pelmorex.com,"REVENUE: 200KK USD Founded in 1989, Pelmorex is a private, family-owned, international weather information and data management company. Pelmorex is located in Canada. Read More. View Company Info for Free. Who is Pelmorex. Headquarters. 2655 Brist...",2023-10-14 10:27:00,10828,Published
21,payrollselectservices.com,"We downloaded all the confidential data of their company, clients, employees, partners. Confidential data of every company they serve. This includes 180 clients, personal account logins and passwords, taxes, employees, SSN, bank details, etc. Info...",2023-10-14 10:20:00,16121,Published
22,fersan.com.tr,"you are pathetic liars, we stole your data, no need to deceive your customers. and your 7500$ that you offered us can be spent on whores",2023-10-14 10:20:00,12825,Published
23,crosscity.com.au,CROSSCITY MOTORWAY PTY LTD is a private company that has been in the industry for 22 years. The company currently specializes in the Transportation/Trucking/Railroad area.,2023-10-14 10:20:00,26997,Published
24,floraalpina.ch,"Seminarhotel FloraAlpina, nestled in Vitznau among beautifully designed parkland, the brainchild of landscape gardener Gustav Ammann.",2023-10-14 10:26:00,27502,Published
25,osg.co.jp,"In 1968, OSG Corporation established its very first overseas subsidiary in the United States. Since then, we have built a production, sales and technical support network spanning 33 countries. All of our facilities are optimally located to serve our...",2023-10-14 10:20:00,34233,Published
26,lhh.com.my,"We distribute solely for Philip Morris (Malaysia) Sdn Bhd across Kuala Lumpur, Cheras, Klang, Kuantan and Melaka. Our world-class tobacco brands include Marlboro, Sempoerna and Chesterfield.",2023-10-14 10:20:00,30559,Published
27,ewwanfried.de,"E-Werk Wanfried is a local power supply company with the core areas of grid, sales, power generation and energy services. The company is owned by the von Scharfenberg family in the 5th generation.",2023-10-14 10:28:00,29587,Published
28,arcc.org,"The mission of ARCC is to provide services, deliver training, and promote innovation to support our regions school districts.",2023-10-14 10:21:00,27551,Published
29,aluminumsandcastingsfoundry.com,"With satisfied customers all over North America, Mahoney Foundries supplies raw, fully machined, aluminum and brass castings for many applications. Since opening our doors in 1972, we've acquired a reputation for unrivalled service, quality, integrit...",2023-10-14 10:21:00,26644,Published
30,metronottevigilanza.it,"Our mission is to address the issue of security at 360 degrees, proposing ourselves to companies, public bodies, small traders and private individuals. We operate in the armed private security sector, with Public Security authorization and thirty yea...",2023-10-14 10:28:00,25528,Published
31,trois-i.com,"Trois I Investissements Industriels Internationaux sa is an independent, family owned holding company focused on long term investments. ‍Established in the late ‘90s in London, Trois I moved to Luxembourg in 2006, with the aim to take advantage of t...",2023-10-14 10:21:00,43124,Published
32,ykk.com,"They are the world's largest zipper manufacturer, also producing other fastening products, architectural products, plastic hardware and industrial machinery. The initials YKK stand for Yoshida Kōgyō Kabushiki gaisha branch in the USA",2023-10-14 10:21:00,13293,Published
33,ohiohistory.org,"The Ohio History Fund was created to support the preservation and sharing of Ohio's heritage by funding local, regional, and statewide projects, programs, and events related to the broad sweep of the state's history and pre-history.",2023-10-14 10:21:00,16709,Published
34,blackjewel l.l.c.,"We give you a unique chance to see the corporation Blackjewel LLC from the inside. This is the third large US coal company so it will be interesting. To your attention more than 500gb of documents, databases, Accounting, Audit, data of all branches...",2023-10-14 10:21:00,30008,Published
35,persingerlaw.com,"Persinger & Persinger, L.C. is a law firm in Charleston, WV with 1 attorneys selected to the Super Lawyers or Rising Stars lists.",2023-10-14 10:22:00,13651,Published
36,mipe.com,"Mission Petroleum Carriers, Inc is a bulk commodity transport company operating throughout Texas and surrounding states. Mission’s primary focus is the gathering and transportation of crude oil. Based in San Antonio, Texas, Mission has been providing...",2023-10-14 10:28:00,15658,Published
37,eyedoc.com.na,"Emoneko is a Namibian health and eye care company with a vision to improve the lives of Namibians through superior service and care, combined with world-class technology. Established in 2018, Emoneko is the management company overseeing the activit...",2023-10-14 10:22:00,23439,Published
38,wings.travel,"Wings has led the market in managing complex travel and support services worldwide, with particular expertise in developing markets and high-risk destinations.",2023-10-14 10:22:00,12570,Published
39,2plan.com,"Wealth management firm in the UK. Head office administration, technology and regulatory teams provide exceptional support to all financial advisers around the country, enabling them to deliver the best possible service to clients.",2023-10-14 10:22:00,12763,Published
40,chula.ac.th,"Currently, the academic administration of the Department of Industrial Engineering, Chulalongkorn University, has changed a lot from the past. to maintain modernity in academic fields and the application of knowledge and techniques to keep pace with...",2023-10-14 10:22:00,14262,Published
41,siampremier.co.th,"Providing legal advice and services to international clients, Siam Premier is a law firm in Thailand housing expert lawyers for all your business needs.",2023-10-14 10:22:00,10272,Published
42,zain.com,Data leak,2023-10-14 10:23:00,7175,Published
43,gsaenz.com.mx,The Company's line of business includes the refining of purchased raw cane sugar and sugar syrup.,2023-10-14 10:23:00,6493,Published
44,motsaot.co.il,Motsaot was founded in 1989 and is the biggest company for portable toilets in Israel.,2023-10-14 10:23:00,5984,Published
45,michalovich.co.il,Haim Michalovitz Company Management and Entrepreneurship Ltd. is a company that specializes in the execution of prestigious projects in the field of construction.,2023-10-14 10:23:00,5924,Published
46,glat.zapweb.co.il,"MB Glatt Chicken Mehadrin Ltd. is a company that specializes in kosher fish, poultry and meat processing.",2023-10-14 10:23:00,5733,Published
47,ipsenlogistics.com,"We are a holding company with interests in the field of international transport services, including industrial export packing.",2023-10-14 10:26:00,5760,Published
48,commercialfluidpower.com,"Commercial Fluid Power is a one stop shop for your fluid power needs. We carry a complete line of materials and offer extensive honing and machining capabilities. And with plants in Dover & North Canton, Ohio as well as Rome, Georgia, we are convenie...",2023-10-14 10:23:00,5454,Published
49,neolaser.es,"Design and manufacturing, manufacturing and assembly... or the entire process. No matter how many stages you need us to cover, at Neolaser we advise you during the process, we adapt to your needs and we offer you a tailor-made service.",2023-10-14 10:29:00,5449,Published
50,lamaisonmercier.com,"In 1912, Marcel Mercier, a baker in the heart of Berry launched original biscuits with regional flavors (croustade au crottin Chavignol, croquet du Berry...).",2023-10-14 10:29:00,5053,Published
51,aeroportlleida.cat,"L'Aeroport de Lleida-Alguaire is located 15 km from Lleida. It is located at the clau point in the northeast of the Iberian Peninsula, where a network of infrastructures converges that connects the airport with important tourist and industrial center...",2023-10-14 10:24:00,5020,Published
52,mehmetceylanyapi.com.tr,"Mehmet Ceylan Yapı A.Ş., which initially set out with a store of 250 M2 with the labor and cooperation of only two people, has realized Turkey's largest single-storey building store (3,000 M2) in İzmir Konak by considering the needs of each period an...",2023-10-14 10:24:00,4445,Published
53,energyinsight.co.za,"THE wholesaler for pipes and civil engineering components and have specialized in trading with steel pipes (that ALPE ""Fuchsrohr"" system) and cast iron pipes concentrated. With experience and know-how, we supply pipes together with Molded parts, acce...",2023-10-14 10:24:00,4529,Published
54,tlip2.com,"Vietnam is the focus of much attention worldwide as an attractive investment destination of ""China plus one”. The hard-working young force with clever hands, the stable political environment and the good relationship with Japan are some of the featur...",2023-10-14 10:25:00,4525,Published
55,piramidal.com.br,It's great for your business. A new cycle of transformation is starting.,2023-10-14 10:25:00,4444,Published
56,antioch.edu,"Antioch University - Los Angeles is ranked #1,033 out of 2,241 schools in the nation that were analyzed for overall quality.",2023-10-14 10:25:00,4450,Published
57,syntech.com.sg,"syntech.com.sg We are a upper-structure specialist in the fabrication, manufacturing, design engineering of commercial heavy industry vehicles of various types of trucks.",2023-10-14 10:25:00,4363,Published
58,chevalerias.com,"For 98 years, the Chevalerias establishments, a family-owned and independent company, have specialized in the distribution of intelligent agricultural and landscape maintenance equipment.",2023-10-14 10:25:00,4416,Published
59,faithfamilyacademy.org,"Oak Cliff Faith Family Academy is an charter elementary/secondary school in Dallas, TX, in the Waxahachie Faith Family Academy school district. As of the 2021-2022 school year, it had 2,325 students.",2023-10-14 10:25:00,4343,Published
60,dasholding.ae,Das Holding - Business Information Holding Companies & Conglomerates · United Arab Emirates · 129 Employees,2023-10-14 10:25:00,4594,Published
61,sbhc.us,"Southwest Behavioral Health Center Hospitals & Physicians Clinics · Utah, United States ·",2023-10-14 10:25:00,4417,Published
62,eljayoil.com,"Eljay Oil - Business Information Electricity, Oil & Gas · Washington, United States ·",2023-10-14 10:25:00,4423,Published
63,scottpartners.com,"Scott + Partners Hospitality · Vermont, United States ·",2023-10-14 10:25:00,4336,Published
64,beamconstruction.com,"Construction company. 187GB - Financial reports, payment journal, bank statements, tax forms, various accounting documentation - Lists of employees with confidential data (ssn numbers, residential addresses, date of birth, contracts, FMLA forms, s...",2023-10-14 10:25:00,4363,Published
65,stavinvest.cz,Meroso Foods has a deep-rooted history as Belgium-based food manufacturer. Different milestones throughout more than 60 years have made the company and its product portfolio what it is today.,2023-10-14 10:25:00,4199,Published
66,perfectlaw.com,"PerfectLaw® is the most function- and feature-rich legal software that uses a single All-in-One® database for all law office applications. This means you enter your data once and it is immediately available to everyone and every application, subject...",2023-10-14 10:26:00,4266,Published
67,milbermakris.com,"Milber Makris Plousadis & Seiden, LLP is a full-service civil litigation defense firm and business partner to the insurance industry",2023-10-14 10:26:00,4276,Published
68,pelicanwoodcliff.com,"Welcome to Pelican Woodcliff. We are an independent multi-disciplinary real estate advisory and cost consulting firm. It is our goal to envision, evaluate and excel in order to maximize the success of our clients projects. We enhance the chances of a...",2023-10-14 10:26:00,5243,Published
69,carthagehospital.com,"Claxton-Hepburn Medical Center is a private, not-for-profit, 127-bed community hospital and regional referral center. Claxton-Hepburn includes 67 acute-care beds, a 10-bed intensive care unit, a 10-bed birthing center, a 28-bed acute adult mental hea...",2023-10-14 10:26:00,6028,Published
70,clearcreek.org,"There are some things that make Clear Creek who we are. We find our root in the Bible but we stay on mission in our modern world by remembering and focusing on five primary values: Gospel Centrality, Biblical Community, Missional Living, Relentless S...",2023-10-14 10:26:00,6354,Published
71,sinloc.com,"Sinloc is a consulting and investment firm with operations throughout Italy. We promote development of local infrastructure, providing advisory services, feasibility studies and direct investments in Public-Private Partnerships",2023-10-14 10:26:00,6902,Published
72,deeroaks.com,"REVENUE about of 30kk Deer Oaks is a full-service behavioral health organization. It offers a comprehensive employee assistance program, geropsychology services, psychiatric medication, management services, and telemedicine services. The company w...",2023-10-14 10:26:00,7442,Published
73,co.grant.mn.us,The City of Grant is located on the eastern fringe of the Twin Cities' urban core area within west central Washington County.,2023-10-14 10:26:00,7425,Published
74,sd69.org,"In partnership with families and our community, District 69 supports every child's development within an environment of belonging.",2023-10-14 10:28:00,9278,Published
75,monaco-technologies.com,Monaco Technologies is a software and IT Company and has been providing solutions and services for Enterprises & Public Organizations since 2004.,2023-10-14 10:26:00,9754,Published
76,hanwha.com,"Hanwha continues to grow by quickly anticipating and responding to rapidly changing business environments with a balanced business portfolio that includes aerospace, energy & materials, finance and retail & services. As of 2022, we are the seventh l...",2023-10-14 10:26:00,13439,Published
77,gosslaw.com,VETERANS' LAWYER You Deserve Representation and Security. We Focus on Results for U.S. Veterans Worldwide.,2023-10-14 10:26:00,14138,Published
78,marianoshoes.com,"A história da Mariano Shoes remonta a 1945, o ano em que Manuel de Almeida Jorge, mestre artesão de calçado, começou a produzir sapatos para homem de alta qualidade, em S. João da Madeira. As suas criações rapidamente ficaram conhecidas em todo o paí...",2023-10-14 10:26:00,12697,Published
79,toua.net,"Provides electricity, water, communication and internet services.",2023-10-14 10:26:00,10527,Published
80,ragasa.com.mx,"RAGASA INDUSTRIES, S.A. DE C.V., PROTEINAS NATURALES, S.A. DE C.V., BASIC PROTEINS, S.A. DE C.V., ADMINISTRATIVE AND COMMERCIAL INTEGRAL SERVICES, S.A. DE C.V., CONTROLLING ENTITY, S.A. DE C.V., INMUEBLES RAGAR, S.A. DE C.V., RAUL GARCIA Y CIA., S.A....",2023-10-14 10:26:00,11728,Published
81,qsoftnet.com,"QSOFT's free billing program also includes a free integrated web and virtual store and the WooCommerce, PrestaShop and osCommerce connector. Try its advantages! and discover why our software is the best eCommerce solution. Qsoft is the leading busin...",2023-10-14 10:27:00,10762,Published
82,meroso.be,Meroso Foods has a deep-rooted history as Belgium-based food manufacturer. Different milestones throughout more than 60 years have made the company and its product portfolio what it is today.,2023-10-14 10:27:00,10307,Published
83,concrejato.com.br,"Created in the 1970s, Concrejato specializes in the execution of technical services for industrial and special works, recovery and structural reinforcement, restoration of historical and architectural heritage, retrofit and maintenance of distributio...",2023-10-14 10:27:00,9967,Published
84,protosign.it,"Protosign Srl Registered office: Via Giuseppe Candiani 98 -20158- Milan n° Company register registration: MI-1714539 - 15/05/2003 Share capital: €10,000.00 iv VAT number: 03949800969",2023-10-14 10:27:00,10546,Published
85,nobleweb.com,"Since 1992, The Noble Group has built a dedicated team of professionals all working together to revitalize neighborhoods, provide new homes for families and build a better future for our investors. 260GB lists with ssn numbers, residential addresse...",2023-10-14 10:27:00,9617,Published
86,gormanusa.com,"Gorman & Company was founded in 1984. They work closely with local governments and community groups to help communities meet their development, planning, economic and social goals.",2023-10-14 10:27:00,9304,Published
87,onyx-fire.com,"Onyx-Fire Protection Services Inc is a company that operates in the Security and Investigations industry 800 GB Financial documents (balance sheets, budget, PL reports, expense reports, bank statements, statements of payables and receivables, var...",2023-10-14 10:27:00,9325,Published
88,esprigas.com,"EspriGas is a technology driven beverage, medical, and industrial gas company. It brings a modern approach to the gas industry by utilizing a network business model to deliver products nationally. - Financial reports, payment journal, bank statement...",2023-10-14 10:27:00,13145,Published
89,cciamp.com,We have over a million files downloaded from your network. You have 48 hours to contact us.,2023-10-14 10:29:00,16283,Published
90,glprop.com,"Global Logistic Properties Ltd. operates as an investment holding company, which through its subsidiaries engages in the provision of distribution facilities and services. Its business solutions include multi-tenant distribution facilities developmen...",2023-10-14 10:28:00,11794,Published
91,ramlowstein.com,"Architecture, Engineering & Design · Wisconsin, United States ·",2023-10-14 10:28:00,10278,Published
92,neolife.com,"Neolife Food & Beverage · California, United States · 135 Employees NeoLife International Ltd is a company that operates in the Health, Wellness and Fitness industry. It employs 101-250 people and has $10M-$25M of revenue.",2023-10-14 10:28:00,9992,Published
93,seasonsdarlingharbour.com.au,"Seasons Darling Harbour Hospitality • New South Wales, Australia Seasons Darling Harbour provides boutique style accommodation in Darling Harbour, Sydney. We offer spacious and comfortable suites & apartments. See more!",2023-10-14 10:28:00,9766,Published
94,nerolac.com,"Revenue about of 1kkk USD We have download a lot of private data: confidential agreements, bank information, driver licenses, finance private data, insurances, a lot of passports, payroll information etc. Founded in 1920, Kansai Nerolac Paints...",2023-10-14 10:28:00,9951,Published
95,gh2.com,"GH2 Architects - Business Information Architecture, Engineering & Design · Oklahoma, United States ·",2023-10-14 10:28:00,9640,Published
96,designlink.us,"Design Link - Business Information Business Services · Georgia, United States ·",2023-10-14 10:28:00,9461,Published
97,attorneydanwinder.com,"For the best legal assistance in Las Vegas, NV, trust the dedicated staff at the Law Office Of Dan M Winder, P.C., who will work hard to ensure the best possible outcome for you. We have a wealth of experience to serve your legal needs.",2023-10-14 10:28:00,9318,Published
98,sterncoengineers.com,,2023-10-14 10:28:00,9014,Published
99,cciamp.com,Comment protéger votre entreprise des cyberattaques et des hackeurs ? Quels sont les bons réflexes et les bonnes pratiques à avoir pour préserver votre activité ? Éléments de réponses.,2023-10-14 10:28:00,9608,Published
100,konkconsulting.com,"Headquartered in Portugal, konkconsulting is an internationally oriented company with more than 10 years of experience in Microsoft, Oracle and SAP platforms. database (bak)",2023-10-14 10:28:00,9390,Published
101,hamilton-techservices.com,hamilton-techservices.com,2023-10-14 10:28:00,8638,Published
102,mayair.com.my,"MayAir is also one of the leading air filtration company in the industry of manufacturing, developing and providing air filtration equipment & HEPA filters.",2023-10-14 10:28:00,8686,Published
103,vodatech.com.tr,"Vodatech does not care at all about the safety of a huge amount of data of its customers, thanks to which this data ended up with us. Databases of world famous companies such as Suzuki, Nivea, Puma, which used Vodatech's services are now available to...",2023-10-14 10:28:00,8003,Published
104,deschamps.fr,"Since 2011, after the association of different structures, the MCDA group has been your John Deere agricultural dealer.",2023-10-14 10:28:00,8048,Published
105,abzarsara.com,Abzarsara Co. was established in 1995 as the exclusive representative of BOSCH power tools in Iran.,2023-10-14 10:28:00,8018,Published
106,biso.at,BISO GmbH The development of BISO harvesting solutions can be compared to the car tuning: the combine manufacturer supplies a solid base machine,2023-10-14 10:28:00,8124,Published
107,millwgs.com,"Millennium Logistics - Final Mile and White Glove Delivery Located in Franklin, MA, Millennium logistics provides nationwide services for Final Mile White Glove Delivery & Asset Recovery.",2023-10-14 10:29:00,7903,Published
108,cc-gorgesardeche.fr,Communauté de communes des Gorges de l'Ardèche,2023-10-14 10:29:00,7140,Published
109,godbeylaw.com,Personal Injury & Family Law Attorneys Cincinnati Ohio & Northern Kentucky,2023-10-14 10:29:00,6013,Published
110,skystar.it,Since 1996 Sky Star has specialized in the supply of Integrated Logistics Services for Companies.,2023-10-14 10:29:00,12263,Published
111,zep.it,"We are a passionate group who have been perfecting cleaning formulas for over 85 years with one purpose: Make the planet cleaner, safer, and more productive.",2023-10-14 10:29:00,7970,Published
112,rydershealth.com,"Ryders Health Management is now known to everyone, first of all, for its indifferent attitude to the protection of personal data of its clients and employees, as well as corporate information of the company. Absolute indifference of officials is mani...",2023-10-14 10:29:00,8313,Published
113,losh.com,"We began in 1990 as Losh Communications installing Business telephones systems for AT&T. We stuck with it as that division of AT&T became Lucent and eventually, Avaya. Over the years, we have branched out to become a leading IT Service provider with...",2023-10-14 10:29:00,7453,Published
114,alpepipesystems.com,"THE wholesaler for pipes and civil engineering components and have specialized in trading with steel pipes (that ALPE ""Fuchsrohr"" system) and cast iron pipes concentrated. With experience and know-how, we supply pipes together with Molded parts, acce...",2023-10-14 10:29:00,7461,Published
115,optoflux.com,"We produce precision optics that are used in numerous industries, for example automotive, medical, industrial or consumer. High quality and absolute precision are just as much our focus as the requirements of our customers. Therefore, we continuousl...",2023-10-14 10:04:00,7163,Published
116,grebe-korbach.de,The company Grebe & Sohn GmbH operates a liquid gas distribution storage facility in your neighborhood in the Am Hagen industrial area on Elfringhäuser Weg in Korbach.,2023-10-14 10:04:00,7111,Published
117,mariocoelho.com,Mario Coelho Ltd,2023-10-14 10:04:00,6909,Published
118,tavlit.co.il,Tavlit- Irrigation and Water Products For more than 40 years TAVLIT has been supplying high-end and innovative products to leading international companies in the irrigation & water industry and to DIY chains in over 70 countries. TAVLIT´s wide...,2023-10-14 10:23:00,6782,Published
119,nieul-sur-mer.fr,A Town Hall in France,2023-10-14 10:04:00,6887,Published
120,feuille-erable.fr,A beautiful adventure of the Circular Economy and an emblematic Inclusive Company present throughout Brittany.,2023-10-14 10:05:00,6587,Published
121,dollinger-pierre.fr,"Founded in 1967 by Pierre Dollinger, this family business has never ceased to meet many challenges, to remain close to all its customers, individuals, communities, establishments, and to make new cutting-edge technologies available to all. his areas...",2023-10-14 10:14:00,6519,Published
122,locaparc.fr,"A regional economic player, Loca-Parc is an independent company specializing in the rental of trucks, with and without drivers.",2023-10-14 10:06:00,6355,Published
123,bocca-sacs.com,Bocca-sacs has been a packaging supplier for the catering industry since 1931. The longevity of the company is due to the strength of the values followed by three generations of entrepreneurs.,2023-10-14 10:06:00,6218,Published
124,potenciamaquinaria.com,Access the best brands of professional machinery and tools without making large investments or facing maintenance costs,2023-10-14 10:29:00,6450,Published
125,inouemfg.com,"INOUE MFG., INC.",2023-10-14 10:15:00,6224,Published
126,annals.edu.sg,Annals Singapore,2023-10-14 10:06:00,6332,Published
127,otltd.co.uk,"OTL was created to support retailers and wholesalers within the discount sector. We're committed to delivering the products that your customers want at the prices you need. Our range includes over a thousand products and spans dozens of categories, w...",2023-10-14 10:07:00,6022,Published
128,acolea.org,Volunteer organization,2023-10-14 10:07:00,5973,Published
129,guillerm-habitat.fr,"Builder of individual houses in Brittany, Finistère in prefabricated concrete structure. With our years of experience in suburban construction, we have developed a whole range of houses.",2023-10-14 10:07:00,6147,Published
130,auto-pieces.fr,"Since 1979, AUTO PIECES, in Reims in the department of Marne (51), has been offering its services in the fields of vehicle destruction, the sale of spare parts and the fitting of tires",2023-10-14 10:07:00,6042,Published
131,emec.com.eg,"Founded in 1983, EMEC is headquartered in Egypt with operations throughout the Middle East and North Africa including Egypt, Saudi Arabia, Kuwait, Algeria, Qatar(suspended), Libya (suspended) and Syria (suspended). EMEC services include drilling flui...",2023-10-14 10:07:00,6008,Published
132,texline-global.com,Integrated supply-chain system across 10 countries Tex Line provides comprehensive business solutions at all stages of the supply chain by leveraging onto our extensive network of global resources.,2023-10-14 10:08:00,6209,Published
133,texline-global.com,Integrated supply-chain system across 10 countries Tex Line provides comprehensive business solutions at all stages of the supply chain by leveraging onto our extensive network of global resources.,2023-10-14 10:08:00,5630,Published
134,csem.qc.ca,CSEM promotes and encourages the burial of cabled networks on the Montreal territory by associating with the City of Montreal and with numerous energy and telecommunications companies and providers.,2023-10-14 10:08:00,6123,Published
135,lhvisionclinic.com,LivingHope Vision Clinic located in Burlington and Hamilton.,2023-10-14 10:01:00,6054,Published
136,tuvsud.com,"In 1866, our founders had a bold vision to reduce the impact of technological risks and protect people, assets and the environment. More than 150 years on, sustainability and safety continue to be the backbone of our mission and services.",2023-10-14 10:02:00,3188,Published
137,uprepschool.org,University Prep’s two elementary schools (kindergarten – 5th grade) in Northeast Denver are tuition free public charter schools with a simple and clear mission – prepare every child for a four-year college degree and a life of opportunity.,2023-10-14 10:07:00,5945,Published
138,jamaicainn.com,"Located in beautiful Ocho Rios, Jamaica Inn boasts an eight-acre property situated on a private cove with an offshore reef two miles east of the town center. With a 700-foot private white sand beach considered to be one of the best in the Caribbean.",2023-10-14 10:02:00,5922,Published
139,beniculturali.it,Ministry of Cultural Heritage and Activities and Tourism is the culture ministry of the Italian Republic,2023-10-14 10:16:00,6316,Published
140,sherwin-electric.com,"Sherwin continues to expand their electrical presence in the Industrial, Commercial, and Solar markets.",2023-10-14 10:04:00,5871,Published
141,wkclawfirm.com,"Winstein, Kavensky & Cunningham was originally established in 1960 by Stewart Winstein (1914-2010) and Harrison H. Kavensky. We are one of the oldest and most prestigious law firms in the Quad Cities and surrounding communities. For more than 60 year...",2023-10-14 10:15:00,5953,Published
142,greenside-sch.org,Education School,2023-10-14 10:04:00,5837,Published
143,renaultinantwerpen.be,"The Company offers a range of new and used passenger cars, utility vans, hybrid cars, and electric vehicles as well as provides financing, workshops, and accessories. Renault Antwerpen conducts business in Belgium.",2023-10-14 10:25:00,5902,Published
144,casa-andina.com,"We are a Peruvian hotel chain founded in February 2003, focused on providing our guests with a travel experience. We integrate the particularities of each destination where we are from architecture, decoration, gastronomy, activities and music, thus...",2023-10-14 10:13:00,5889,Published
145,ukseung.co.kr,Manufacturing of inorganic pigments,2023-10-14 10:17:00,5946,Published
146,mergerecords.com,"Merge Records was started in the summer of 1989 by Laura Ballance & Mac McCaughan, the same summer they formed the band Superchunk in Chapel Hill, North Carolina.",2023-10-14 10:15:00,5795,Published
147,recamlaser.com,Recam Laser we are a laser cutting specialized company for the realization of products for industrial metalworking and a wide range of metallurgical processes and engineering.,2023-10-14 10:26:00,5699,Published
148,carolfoxassociates.com,"Carol Fox & Associates (CF&A) is an award-winning PR, branding, digital marketing and events agency. Fully integrated to meet the demands of an ever-changing industry, our team is plugged in, switched on and ready to elevate your brand. No project is...",2023-10-14 10:16:00,5658,Published
149,cloverbrook.com,We are vertically integrated weft and warp knitter fabric producer working with some of the best known brands in the world.,2023-10-14 10:09:00,5664,Published
150,immoselekt.be,"You don't just buy or sell a house. It's a decision that can make a big difference in your way of life, your wealth, your happiness. And Immo Selekt is there to help you with this big step. And we go very far in that.",2023-10-14 10:09:00,5497,Published
151,fimadev.fr,Fimadev group of companies.,2023-10-14 10:09:00,5867,Published
152,younghomes.com,"Young Homes is a builder you can trust because its goal has never changed, wavered, or varied. This goal has been, and always will be, home buyer satisfaction.",2023-10-14 10:10:00,5274,Published
153,cm.gov.nc.tr,Republic assemblish,2023-10-14 10:17:00,5407,Published
154,distribuidoradavidsa.com,"We have a variety of Ford® car models in Panama, all with an innovative design, elegant interiors, technology, safety and outstanding performance. A car for every lifestyle.",2023-10-14 10:11:00,5325,Published
